fecha_captura,fecha_actualizacion,nivel,ubigeo,nombre_ubigeo,actas_contabilizadas,contabilizadas,total_actas,participacion,votos_emitidos,votos_validos,enviadas_jee,pendientes_jee
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,030000,APURÍMAC,36.067,475,1317,27.416,99065,93334,4,838
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,040000,AREQUIPA,73.001,3077,4215,60.138,737612,691168,20,1118
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,050000,AYACUCHO,43.737,831,1900,33.585,174724,165748,11,1058
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,060000,CAJAMARCA,38.608,1637,4240,29.273,350914,323886,9,2594
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,240000,CALLAO,64.493,1869,2898,50.242,431564,402094,39,990
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,070000,CUSCO,54.005,2151,3983,41.594,471572,439944,33,1799
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,080000,HUANCAVELICA,33.857,431,1273,24.114,81855,77540,4,838
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,090000,HUÁNUCO,47.202,1105,2341,34.218,224647,209696,8,1228
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,100000,ICA,61.809,1510,2443,50.728,362196,341504,11,922
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,110000,JUNÍN,60.715,2241,3691,46.44,493421,462222,17,1433
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,120000,LA LIBERTAD,62.222,3299,5302,48.04,745916,691284,23,1980
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,130000,LAMBAYEQUE,70.306,2524,3590,54.797,576107,531806,9,1057
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,140000,LIMA,55.671,16282,29247,44.276,3830288,3596262,490,12475
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,150000,LORETO,27.549,743,2697,18.176,141034,131644,10,1944
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,160000,MADRE DE DIOS,53.846,273,507,39.628,58482,55456,4,230
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,170000,MOQUEGUA,77.163,446,578,63.202,104049,97889,2,130
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,180000,PASCO,41.397,332,802,28.948,64755,60267,7,463
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,190000,PIURA,55.425,2927,5281,43.306,664358,612333,45,2309
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,200000,PUNO,48.543,1649,3397,39.549,381054,362705,19,1729
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,210000,SAN MARTÍN,48.54,1230,2534,36.427,263589,243678,6,1298
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,220000,TACNA,81.94,853,1041,67.449,204110,192499,12,176
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,230000,TUMBES,88.133,557,632,67.199,121844,112164,3,72
2026-06-08T02:54:34+00:00,2026-06-08T02:52:02+00:00,departamento,250000,UCAYALI,51.535,806,1564,35.037,159041,149123,20,738
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,nacional,,PERÚ,54.557,50610,92766,41.947,11462218,10709622,873,41283
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,010000,AMAZONAS,40.923,523,1278,29.191,100779,93829,9,746
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,020000,ÁNCASH,53.427,1855,3472,41.042,398673,365266,27,1590
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,030000,APURÍMAC,39.18,516,1317,29.648,107128,100885,4,797
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,040000,AREQUIPA,75.136,3167,4215,61.893,759130,711261,21,1027
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,050000,AYACUCHO,43.947,835,1900,33.731,175480,166443,11,1054
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,060000,CAJAMARCA,38.868,1648,4240,29.456,353115,325919,9,2583
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,240000,CALLAO,65.735,1905,2898,51.186,439674,409680,42,951
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,070000,CUSCO,55.335,2204,3983,42.518,482049,449752,33,1746
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,080000,HUANCAVELICA,35.35,450,1273,25.108,85228,80703,4,819
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,090000,HUÁNUCO,48.526,1136,2341,35.118,230554,215168,8,1197
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,100000,ICA,61.809,1510,2443,50.728,362196,341504,11,922
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,110000,JUNÍN,60.797,2244,3691,46.495,494010,462776,17,1430
2026-06-08T02:59:25+00:00,2026-06-08T02:56:02+00:00,departamento,120000,LA LIBERTAD,62.882,3334,5302,48.507,753164,697942,24,1944
